feature,kind,n_subjects,n_nonnull,n_missing,pct_missing,mean,sd,min,median,max,high_missing_flag
erp_n_standard_rejected,erp,25,24,1,4.0,41.3333,40.5094,0.0,24.0,163.0,False
erp_n_target_kept,erp,25,24,1,4.0,28.8333,8.6561,11.0,31.5,38.0,False
erp_n_target_rejected,erp,25,24,1,4.0,9.1667,8.6561,0.0,6.5,27.0,False
erp_n_novel_kept,erp,25,24,1,4.0,29.9583,7.7655,9.0,32.5,37.0,False
erp_n_novel_rejected,erp,25,24,1,4.0,8.0417,7.7655,1.0,5.5,29.0,False
erp_status,erp,25,0,25,100.0,,,,,,True
erp_P3a_novel_fc_peak_uv,erp,25,24,1,4.0,5.789,2.9728,0.39,6.0895,11.312,False
erp_P3a_novel_fc_lat_ms,erp,25,24,1,4.0,344.5,43.6319,256.0,339.0,400.0,False
erp_P3a_novel_fc_mean_uv,erp,25,24,1,4.0,2.8293,2.2351,-1.118,2.937,7.402,False
erp_N2_novel_fc_peak_uv,erp,25,24,1,4.0,-2.3169,2.5386,-9.111,-1.938,1.58,False
erp_N2_novel_fc_lat_ms,erp,25,24,1,4.0,228.0833,28.3854,200.0,224.0,282.0,False
erp_N2_novel_fc_mean_uv,erp,25,24,1,4.0,1.4243,1.8584,-3.292,1.4815,4.967,False
erp_P3b_target_par_peak_uv,erp,25,24,1,4.0,6.593,2.3369,2.225,6.5515,11.476,False
erp_P3b_target_par_lat_ms,erp,25,24,1,4.0,463.6667,90.948,300.0,470.0,600.0,False
erp_P3b_target_par_mean_uv,erp,25,24,1,4.0,3.8221,1.7372,0.596,3.938,7.509,False
erp_N2_target_fc_peak_uv,erp,25,24,1,4.0,-3.057,1.5713,-5.692,-2.7985,-0.769,False
erp_N2_target_fc_lat_ms,erp,25,24,1,4.0,267.5833,60.7117,200.0,282.0,350.0,False
erp_N2_target_fc_mean_uv,erp,25,24,1,4.0,0.7255,1.7472,-1.914,0.6715,5.432,False
erp_P3b_tMinusS_par_peak_uv,erp,25,24,1,4.0,6.4566,2.4973,2.611,6.401,12.202,False
erp_P3b_tMinusS_par_lat_ms,erp,25,24,1,4.0,474.75,54.7049,374.0,465.0,600.0,False
erp_P3b_tMinusS_par_mean_uv,erp,25,24,1,4.0,3.717,1.6713,0.974,3.7615,7.758,False
